46.040,45.411,44.695,44.542,43.999,43.145,42.175,41.103,40.557,40.446,39.854,39.419,39.984,40.508,41.297,41.288,42.773,42.773,45.149,45.813,47.327,49.132,50.121,49.879,49.893,49.783,48.615,47.493,46.282,45.004,43.662,42.227,40.879,40.367,40.051,39.657,39.274,38.902,36.889,34.645,30.755,27.795,25.787,24.577,24.440,25.000,23.965,22.416,21.514,19.092,0.829,9999.000,9999.000
45.640,44.637,44.338,43.669,43.452,42.377,41.514,40.723,40.175,39.831,39.408,39.625,40.192,40.819,41.360,41.863,43.735,44.974,45.843,46.753,48.330,48.833,49.212,49.449,49.002,48.287,47.122,45.884,44.601,43.280,41.975,40.768,39.894,39.444,39.291,39.198,38.986,37.385,35.644,32.295,32.295,28.579,26.374,25.439,24.253,23.961,23.180,22.341,20.616,14.595,9999.000,9999.000,9999.000
44.548,44.195,43.766,43.385,42.731,42.143,41.200,40.394,40.045,39.813,39.403,39.956,40.480,41.162,41.596,42.709,43.744,44.673,45.734,46.645,47.524,48.195,48.774,49.053,48.682,48.108,47.003,45.763,44.477,43.169,41.952,40.692,39.658,38.889,38.660,38.681,38.806,37.583,35.647,33.063,29.416,27.890,26.687,24.545,23.594,22.711,21.963,20.197,6.004,9999.000,9999.000,9999.000,9999.000
44.312,43.615,43.372,43.046,42.269,41.363,40.650,40.704,40.141,40.048,39.840,40.207,40.919,41.381,42.086,42.888,43.793,44.537,45.408,46.111,47.011,47.765,48.427,48.740,48.467,47.829,46.950,45.760,44.474,43.169,41.886,40.643,39.477,38.433,37.970,38.095,38.591,36.638,34.462,32.862,29.330,28.556,26.834,24.745,23.897,22.560,21.349,18.009,0.000,9999.000,9999.000,9999.000,9999.000
43.635,43.120,42.990,42.432,41.080,40.490,40.473,40.952,40.321,40.269,39.822,40.367,41.032,41.300,42.143,42.838,44.029,44.195,44.831,45.787,46.676,47.441,48.143,48.529,48.353,47.799,46.975,45.809,44.528,43.217,41.949,40.611,39.349,38.069,37.257,37.218,36.985,35.725,34.710,33.261,28.794,27.334,25.874,24.246,24.143,22.320,20.236,7.167,9999.000,9999.000,9999.000,9999.000,9999.000
43.135,42.852,42.174,41.676,40.486,40.076,40.559,41.540,40.862,41.012,40.129,40.475,40.909,41.313,42.560,43.189,43.979,44.230,44.828,45.643,46.439,47.194,47.902,48.431,48.346,47.855,46.980,45.879,44.620,43.326,42.013,40.684,39.301,37.848,36.555,36.589,38.229,37.580,36.438,34.956,30.085,27.099,26.092,24.777,24.300,21.744,17.542,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
43.484,42.638,41.900,40.597,40.091,40.161,41.356,42.140,41.780,41.896,41.111,40.804,41.089,41.949,42.667,43.307,44.069,44.479,44.953,45.612,46.338,47.047,47.750,48.376,48.405,47.956,47.054,45.989,44.753,43.485,42.193,40.848,39.430,37.859,36.183,37.731,39.426,39.057,37.240,35.232,30.886,26.718,25.787,24.936,22.968,20.604,2.230,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
43.614,42.687,41.245,40.405,40.354,41.008,42.447,42.625,42.247,42.134,41.308,40.884,41.189,42.110,43.122,43.941,44.305,44.516,44.957,45.561,46.247,46.932,47.600,48.243,48.559,48.216,47.143,46.021,44.799,43.583,42.355,41.099,39.741,38.384,37.390,39.290,40.021,40.075,38.913,35.192,29.580,25.843,24.233,23.766,22.715,17.709,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
43.335,42.554,41.636,40.758,41.061,42.085,42.912,42.925,42.592,42.445,41.390,41.128,41.850,42.444,43.077,43.604,43.997,44.347,44.838,45.448,46.135,46.835,47.471,48.088,48.677,48.558,47.341,46.187,45.004,43.848,42.702,41.563,40.421,39.560,39.341,40.549,42.458,40.776,38.245,35.254,31.164,25.112,21.275,22.899,21.086,8.080,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
42.763,42.310,41.860,41.412,41.957,42.754,43.448,43.107,42.819,42.970,41.771,41.735,42.119,42.544,42.874,43.171,43.529,43.992,44.564,45.217,45.975,46.755,47.333,47.795,48.152,48.134,47.542,46.405,45.252,44.145,43.103,42.112,41.363,41.183,41.130,40.919,40.524,38.783,35.908,34.218,31.007,26.372,21.631,23.382,16.741,1.635,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
